Order,Vital Records Form,Form URL,Form Element,IG,Mapping Profile,Profile,Field,Extension,Questionnaire,QuestionnaireField,Notes/Questions,Mapping IG,computable
1-088,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.2. Maternal Morbidity: Third or fourth degree perineal laceration,BFDR,Condition-perineal-laceration,Condition-perineal-laceration,,,,,,,ConditionPerinealLaceration
1-089,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.3. Maternal Morbidity: Ruptured uterus,BFDR,Condition-ruptured-uterus,Condition-ruptured-uterus,,,,,,,ConditionRupturedUterus
1-090,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.4. Maternal Morbidity: Unplanned hysterectomy,BFDR,Procedure-unplanned-hysterectomy,Procedure-unplanned-hysterectomy,,,,,,,ProcedureUnplannedHysterectomy
1-091,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.5. Maternal Morbidity: Admission to intensive care unit,BFDR,Observation-icu-admission,Observation-icu-admission,,,,,,,ObservationICUAdmission
1-092,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.6. Maternal Morbidity: Unplanned operating room procedure following delivery,not implemented,not implemented,not implemented,,,,,"See NA tab, row 16
Also removed for FD.",,
1-093,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.7. Maternal Morbidity: None of the above,BFDR,Observation-none-of-specified-maternal-morbidities,Observation-none-of-specified-maternal-morbidities,,,,,,,ObservationNoneOfSpecifiedMaternalMorbidities
1-094,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,48. Newborn Medical Record Number,VRCPL,Patient-child-vr,Patient-child-vr,identifier:MRN,,,,,,PatientChildVitalRecords
1-095,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,49. Birthweight,BFDR,Observation-birth-weight,Observation-birth-weight,value,,,,,,ObservationBirthWeight
1-096,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,50. Obstetric Estimate of Gestation,BFDR,Observation-gestational-age-at-delivery,Observation-gestational-age-at-delivery-vr,value,,,,,,ObservationGestationalAgeAtDelivery
1-097,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,51. Apgar Score:,BFDR,Observation-apgar-score,Observation-apgar-score-vr,value,,,,,,ObservationApgarScore
1-098,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,52. Plurality,FHIR,Patient-child-vr,patient-multipleBirthTotal,,Patient-child-vr.multipleBirth[x].extension:multipleBirthTotal,,,,VRCPL,PatientChildVitalRecords
1-099,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,"53. If Not Single Birth - Born First, Second, Third, etc. (Specify)",VRCPL,Patient-child-vr,Patient-child-vr,multipleBirthInteger,,,,Final decision on plurality total and birth order?,,PatientChildVitalRecords
1-100,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.1. Abnormal Conditions of the Newborn: Assisted ventilation required immediately following delivery,BFDR,Procedure-assisted-ventilation-following-delivery,Procedure-assisted-ventilation-following-delivery,,,,,,,ProcedureAssistedVentilationFollowingDelivery
1-101,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.2. Abnormal Conditions of the Newborn: Assisted ventilation required for more than six hours,BFDR,Procedure-assisted-ventilation-more-than-six-hours,Procedure-assisted-ventilation-more-than-six-hours,,,,,,,ProcedureAssistedVentilationMoreThanSixHours
1-102,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.3. Abnormal Conditions of the Newborn: NICU admission,BFDR,Observation-nicu-admission,Observation-nicu-admission,,,,,,,ObservationNICUAdmission
1-103,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.4. Abnormal Conditions of the Newborn: Newborn given surfactant replacement therapy,BFDR,Procedure-surfactant-replacement-therapy,Procedure-surfactant-replacement-therapy,,,,,,,ProcedureSurfactantReplacementTherapy
1-104,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.5. Abnormal Conditions of the Newborn: Antibiotics received by the newborn for suspected neonatal sepsis,BFDR,Procedure-antibiotic-suspected-neonatal-sepsis,Procedure-antibiotic-suspected-neonatal-sepsis,,,,,,,ProcedureAntibioticSuspectedNeonatalSepsis
1-105,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.6. Abnormal Conditions of the Newborn: Seizure or serious neurologic dysfunction,BFDR,Condition-seizure,Condition-seizure,,,,,,,ConditionSeizure
1-106,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.7. Abnormal Conditions of the Newborn: Significant birth injury,not implemented,not implemented,not implemented,,,,,"See NA tab, row 17",,
1-107,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.8. Abnormal Conditions of the Newborn: None of the above,BFDR,Observation-none-of-specified-abnormal-conditions-of-newborn,Observation-none-of-specified-abnormal-conditions-of-newborn,,,,,,,ObservationNoneOfSpecifiedAbnormalConditionsOfNewborn
1-108,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,55. Congenital Anomalies of the Newborn,BFDR,Condition-congenital-anomaly-of-newborn,Condition-congenital-anomaly-of-newborn,,,,,"Does profile (value set) also  accommodate these values?
o¬†¬† Karyotype confirmed
o¬†¬† Karyotype pending
‚Ä¶for  Down Syndrome & Suspected chromosomal disorder",,ConditionCongenitalAnomalyOfNewborn
1-109,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,55.13. Congenital Anomalies of the Newborn: None of the above,BFDR,Observation-none-congenital-anomolies-of-the-newborn,Observation-none-congenital-anomolies-of-the-newborn,,,,,,,ObservationNoneOfSpecifiedCongenitalAnomoliesOfTheNewborn
1-110,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,56. Was Infant Transferred Within 24 Hours Of Delivery?,BFDR,Encounter-birth,Encounter-birth,hospitalization.dischargeDisposition,,,,,,EncounterBirth
1-111,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,56.1. name of facility infant transferred to:,BFDR,Location-bfdr,Location-bfdr,name,,,,,BFDR,LocationBFDR
1-112,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,57. Is Infant Living At Time of Report?,BFDR,Observation-infant-living,Observation-infant-living-vr,value,,,,,,ObservationInfantLiving
1-113,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,58. Is The Infant Being Breastfed At Discharge?,BFDR,Observation-infant-breastfed-at-discharge,Observation-infant-breastfed-at-discharge,value,,,,,,ObservationInfantBreastfedAtDischarge
2-001,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,Mother’s medical record #,VRCPL,Patient-mother-vr,Patient-mother-vr,identifier:MRN,,,,,,PatientMotherVitalRecords
2-002,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,Mother’s name,VRCPL,Patient-mother-vr,Patient-mother-vr,name:currentLegalName,,,,,,PatientMotherVitalRecords
2-003,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,1. Facility name / address,BFDR,Location-bfdr,Location-bfdr,name/address,,,,,BFDR,LocationBFDR
2-004,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,2. Facility I.D.,BFDR,Location-bfdr,Location-bfdr,identifier,,,,,BFDR,LocationBFDR
2-005,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,"3. City, Town or Location of birth",FHIR,Patient-child-vr,patient-birthPlace,,Patient-child-vr.extension:birthPlace,,,,VRCPL,PatientChildVitalRecords
2-006,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,4. County of birth,FHIR,Patient-child-vr,patient-birthPlace,,Patient-child-vr.extension:birthPlace,,,,VRCPL,PatientChildVitalRecords
2-007,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,5. Place where birth occurred,BFDR,Encounter-birth,Encounter-birth,location.physicalType,,,,,,EncounterBirth
,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,5.3. Home Birth: Planned to deliver at home?,BFDR,Encounter-birth,Encounter-birth,location.physicalType,,,,,,EncounterBirth
2-008,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,6. Date of first prenatal care visit,BFDR,Observation-date-of-first-prenatal-care-visit,Observation-date-of-first-prenatal-care-visit,value,,,,,,ObservationDateOfFirstPrenatalCareVisit
2-009,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,7. Total number of prenatal care visits for this pregnancy,BFDR,Observation-number-prenatal-visits,Observation-number-prenatal-visits-vr,value,,,,,,ObservationNumberPrenatalVisits
2-010,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,8. Date last normal menses began,BFDR,Observation-last-menstrual-period,Observation-last-menstrual-period-vr,value,,,,,,ObservationLastMenstrualPeriod
2-011,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,9. Number of previous live births now living,BFDR,Observation-number-births-now-living,Observation-number-births-now-living-vr,value,,,,,,ObservationNumberBirthsNowLiving
2-012,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,10. Number of previous live births now dead,BFDR,Observation-number-births-now-dead,Observation-number-births-now-dead-vr,value,,,,,,ObservationNumberBirthsNowDead
2-013,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,11. Date of last live birth,BFDR,Observation-date-of-last-live-birth,Observation-date-of-last-live-birth,value,,,,,,ObservationDateOfLastLiveBirth
2-014,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,12. Number of other pregnancy outcomes,BFDR,Observation-number-other-pregnancy-outcomes,Observation-number-other-pregnancy-outcomes-vr,value,,,,,,ObservationNumberOtherPregnancyOutcomes
2-015,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,13. Date of last other pregnancy outcome,BFDR,Observation-date-of-last-other-pregnancy-outcome,Observation-date-of-last-other-pregnancy-outcome,value,,,,,,ObservationDateOfLastOtherPregnancyOutcome
2-018,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.1. Risk factors in this pregnancy: Diabetes - Prepregnancy,BFDR,Condition-prepregnancy-diabetes,Condition-prepregnancy-diabetes-vr,,,,,,,ConditionPrepregnancyDiabetes
2-019,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.2. Risk factors in this pregnancy: Diabetes - Gestational,BFDR,Condition-gestational-diabetes,Condition-gestational-diabetes-vr,,,,,,,ConditionGestationalDiabetes
2-021,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.3. Risk factors in this pregnancy: Hypertension - Prepregnancy,BFDR,Condition-prepregnancy-hypertension,Condition-prepregnancy-hypertension-vr,,,,,,,ConditionPrepregnancyHypertension
2-022,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.4. Risk factors in this pregnancy: Hypertension - Gestational,BFDR,Condition-gestational-hypertension,Condition-gestational-hypertension-vr,,,,,,,ConditionGestationalHypertension
2-023,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.5. Risk factors in this pregnancy: Eclampsia,BFDR,Condition-eclampsia-hypertension,Condition-eclampsia-hypertension-vr,,,,,,,ConditionEclampsiaHypertension
2-024,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.6. Risk factors in this pregnancy: Previous preterm births,BFDR,Observation-previous-preterm-birth,Observation-previous-preterm-birth-vr,,,,,,,ObservationPreviousPretermBirth
2-025,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.7. Risk factors in this pregnancy: Pregnancy resulted from infertility treatment,BFDR,Procedure-infertility-treatment,Procedure-infertility-treatment-vr,,,,,,,ProcedureInfertilityTreatment
2-027,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,"14.8. Risk factors in this pregnancy: Fertility-enhancing drugs, artificial insemination or intrauterine insemination",BFDR,Procedure-fertility-enhancing-drug-therapy-artificial-insem,Procedure-fertility-enhancing-drug-therapy-artificial-insem-vr,,,,,,,ProcedureFertilityEnhancingDrugTherapyArtificialInsemination
2-028,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.9. Risk factors in this pregnancy: Assisted reproductive technology,BFDR,Procedure-assisted-reproductive-technology,Procedure-assisted-reproductive-technology-vr,,,,,,,ProcedureAssistedReproductiveTechnology
2-029,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.10. Risk factors in this pregnancy: previous cesarean delivery,BFDR,Observation-previous-cesarean,Observation-previous-cesarean-vr,,,,,,,ObservationPreviousCesarean
2-029,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.10. Risk factors in this pregnancy: previous cesarean delivery,BFDR,Observation-number-previous-cesareans,Observation-number-previous-cesareans,,,,,,,ObservationNumberPreviousCesareans
2-031,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.11. Risk factors in this pregnancy: None of the above,BFDR,Observation-none-of-specified-pregnancy-risk-factors,Observation-none-of-specified-pregnancy-risk-factors-vr,,,,,,,ObservationNoneOfSpecifiedPregnancyRiskFactors
2-032,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,15. Infections present and/or treated during this pregnancy,BFDR,Condition-infection-present-during-pregnancy,Condition-infection-present-during-pregnancy,,,,,Value set also includes Genital herpes simplex (disorder),,ConditionInfectionPresentDuringPregnancy
2-032,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,15.6. Infections present and/or treated during this pregnancy,BFDR,Observation-no-infections-present-during-pregnancy,Observation-no-infections-present-during-pregnancy,,,,,,,ObservationNoneOfSpecifiedInfectionsPresentDuringPregnancy
2-039,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,16. Obstetric procedures,BFDR,Procedure-obstetric,Procedure-obstetric,,,,,,,ProcedureObstetric
2-044,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,16.4. Obstetric procedures,BFDR,Observation-none-of-specified-obstetric-procedures,Observation-none-of-specified-obstetric-procedures,,,,,,,ObservationNoneOfSpecifiedObstetricProcedures
2-045,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,17. Date of birth,VRCPL,Patient-child-vr,Patient-child-vr,birthDate,,,,,,PatientChildVitalRecords
2-046,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,18. Time of birth,FHIR,Patient-child-vr,patient-birthTime,,Patient-child-vr.birthDate.extension:birthTime,,,,VRCPL,PatientChildVitalRecords
2-046,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,19. Certifier’s name,BFDR,Practitioner-birth-certifier,Practitioner-birth-certifier,name,,,,,BFDR,PractitionerBirthCertifier
2-047,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,19. Certifier’s title,BFDR,Practitioner-birth-certifier,Practitioner-birth-certifier,qualification,,,,,BFDR,PractitionerBirthCertifier
2-048,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,20. Date certified,BFDR,Encounter-birth,Encounter-birth,participant:certifier.period.start,,,,or just .date?,,EncounterBirth
2-049,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,21. Principal source of payment for this delivery,BFDR,Coverage-principal-payer-delivery,Coverage-principal-payer-delivery,type,,,,,,CoveragePrincipalPayerDelivery
2-050,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,22. Infant’s medical record number,VRCPL,Patient-child-vr,Patient-child-vr,identifier:MRN,,,,,,PatientChildVitalRecords
2-051,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,23. Was the mother transferred to this facility for maternal medical or fetal indications for delivery?,BFDR,Encounter-maternity,Encounter-maternity,"hospitalization.admitSource (Y if present, N if not present)",,,,,,EncounterMaternity
2-052,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,23.1. Name of facility mother transferred from:,BFDR,Location-bfdr,Location-bfdr,name,,,,,BFDR,LocationBFDR
2-053,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,24. Attendant’s name,BFDR,Practitioner-birth-attendant,Practitioner-birth-attendant,name,,,,,BFDR,PractitionerBirthAttendant
2-054,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,24. Attendant’s title,BFDR,Practitioner-birth-attendant,Practitioner-birth-attendant,qualification,,,,,BFDR,PractitionerBirthAttendant
2-055,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,24. Attendant’s N.P.I.,BFDR,Practitioner-birth-attendant,Practitioner-birth-attendant,identifier,,,,,BFDR,PractitionerBirthAttendant
2-056,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,25. Mother’s weight at delivery,BFDR,Observation-mother-delivery-weight,Observation-mother-delivery-weight-vr,value,,,,,,ObservationMotherDeliveryWeight
2-057,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.1. Characteristics of Labor and Delivery: Induction of labor,BFDR,Procedure-induction-of-labor,Procedure-induction-of-labor,,,,,,,ProcedureInductionOfLabor
2-058,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.2. Characteristics of Labor and Delivery: Augmentation of labor,BFDR,Procedure-augmentation-of-labor,Procedure-augmentation-of-labor,,,,,,,ProcedureAugmentationOfLabor
2-059,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.3. Characteristics of Labor and Delivery: Steroids for fetal lung maturation,BFDR,Observation-steroids-fetal-lung-maturation,Observation-steroids-fetal-lung-maturation,,,,,,,ObservationSteroidsFetalLungMaturation
2-060,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.4. Characteristics of Labor and Delivery: Antibiotics received by the mother during labor,BFDR,Observation-antibiotics-administered-during-labor,Observation-antibiotics-administered-during-labor,,,,,,,ObservationAntibioticsAdministeredDuringLabor
2-062,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.5. Characteristics of Labor and Delivery: Clinical chorioamnionitis,BFDR,Condition-chorioamnionitis,Condition-chorioamnionitis,,,,,,,ConditionChorioamnionitis
2-066,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.6. Characteristics of Labor and Delivery: Epidural or spinal anesthesia during labor,BFDR,Procedure-epidural-or-spinal-anesthesia,Procedure-epidural-or-spinal-anesthesia,,,,,,,ProcedureEpiduralOrSpinalAnesthesia
2-071,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.7. Characteristics of Labor and Delivery: None of the above,BFDR,Observation-none-of-specified-characteristics-labor-delivery,Observation-none-of-specified-characteristics-labor-delivery,,,,,,,ObservationNoneOfSpecifiedCharacteristicsOfLaborAndDelivery
2-073,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,27.C. Method of delivery: Fetal presentation at birth,BFDR,Observation-fetal-presentation,Observation-fetal-presentation,value,,,,,,ObservationFetalPresentation
2-074,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,27.D. Method of delivery: Final route and method of delivery,BFDR,Procedure-final-route-method-delivery,Procedure-final-route-method-delivery,code,,,,,,ProcedureFinalRouteMethodDelivery
2-075,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,"27.D.1. Method of delivery: If cesarean, was a trial of labor attempted?",BFDR,Observation-labor-trial-attempted,Observation-labor-trial-attempted,value,,,,,,ObservationLaborTrialAttempted
2-076,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,28.1. Maternal Morbidity: Maternal transfusion,BFDR,Procedure-blood-transfusion,Procedure-blood-transfusion,,,,,,,ProcedureBloodTransfusion
2-077,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,28.2. Maternal Morbidity: Third or fourth degree perineal laceration,BFDR,Condition-perineal-laceration,Condition-perineal-laceration,,,,,,,ConditionPerinealLaceration
2-078,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,28.3. Maternal Morbidity: Ruptured uterus,BFDR,Condition-ruptured-uterus,Condition-ruptured-uterus,,,,,,,ConditionRupturedUterus
2-079,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,28.4. Maternal Morbidity: Unplanned hysterectomy,BFDR,Procedure-unplanned-hysterectomy,Procedure-unplanned-hysterectomy,,,,,,,ProcedureUnplannedHysterectomy
2-082,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,28.5. Maternal Morbidity: Admission to intensive care unit,BFDR,Observation-icu-admission,Observation-icu-admission,,,,,,,ObservationICUAdmission
2-083,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,28.6. Maternal Morbidity: None of the above,BFDR,Observation-none-of-specified-maternal-morbidities,Observation-none-of-specified-maternal-morbidities,,,,,,,ObservationNoneOfSpecifiedMaternalMorbidities
2-084,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,29. Birthweight,BFDR,Observation-birth-weight,Observation-birth-weight,value,,,,,,ObservationBirthWeight
2-085,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,30. Obstetric estimate of gestation at delivery,BFDR,Observation-gestational-age-at-delivery,Observation-gestational-age-at-delivery-vr,value,,,,,,ObservationGestationalAgeAtDelivery
2-086,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,31. Sex:,US CORE,Patient-child-vr,us-core-birthsex,,Patient-child-vr.extension:birthsex,,,,VRCPL,PatientChildVitalRecords
2-087,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,32. Apgar score,BFDR,Observation-apgar-score,Observation-apgar-score-vr,value,,,,,,ObservationApgarScore
2-089,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,33. Plurality,FHIR,Patient-child-vr,patient-multipleBirthTotal,,Patient-child-vr.multipleBirthInteger.extension:multipleBirthTotal,,,,VRCPL,PatientChildVitalRecords
2-090,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,"34. If not single birth, order delivered in the pregnancy",VRCPL,Patient-child-vr,Patient-child-vr,multipleBirthInteger,,,,,,PatientChildVitalRecords
